"date","A","B","C","D","E","F","G","H","I","J","K","L","M"
2015-03-29,158,227,262,386,485,636,170,361,534,0,0,286,0
2015-03-29,65,809,397,162,172,680,975,211,416,441,342,639,188
2015-03-29,624,182,838,505,488,651,644,331,321,295,254,384,596
2015-03-30,418,634,872,435,701,740,152,347,65,625,430,290,568
2015-03-30,277,762,476,632,844,319,586,1144,180,265,475,0,585
2015-03-30,791,352,767,515,447,320,330,479,620,254,415,916,701
2015-03-30,444,195,459,0,423,223,841,691,499,519,846,617,594
2015-03-30,127,88,250,808,852,811,701,798,75,695,550,398,692
2015-03-30,198,626,823,618,220,84,577,413,833,331,292,535,903
2015-03-30,233,161,100,349,753,433,7,382,616,391,474,126,285
2015-03-30,324,243,479,364,178,404,549,227,229,189,717,450,570
2015-03-30,558,612,762,427,402,279,514,48,0,492,714,294,938
2015-03-30,448,426,753,571,523,550,0,303,368,620,641,542,907
2015-03-30,373,686,0,628,605,734,364,531,831,619,577,416,737
2015-03-30,586,523,616,446,334,57,416,541,136,482,942,826,444
2015-03-30,688,457,696,639,410,444,541,431,289,487,151,378,332
2015-03-30,841,654,434,287,307,465,207,759,826,680,406,803,169
2015-03-31,429,906,478,235,624,757,235,567,676,647,770,362,574
2015-03-31,410,342,492,600,793,0,338,874,635,936,521,244,760
2015-03-31,927,704,0,984,332,708,689,328,998,294,321,717,107
2015-03-31,436,192,0,934,560,319,448,603,416,48,870,411,595
2015-03-31,354,335,308,603,223,407,427,211,461,650,341,822,660
2015-03-31,278,379,327,569,657,90,0,268,417,691,454,0,595
2015-03-31,670,428,634,573,309,650,222,873,219,531,481,715,649
2015-03-31,557,907,903,241,341,421,704,239,623,288,520,461,456
2015-03-31,717,474,113,821,180,776,809,253,998,804,619,823,6
2015-03-31,450,437,488,422,572,0,308,284,432,470,0,480,365
2015-03-31,268,419,502,224,201,610,20,785,647,0,461,604,179
2015-03-31,100,298,451,574,427,280,708,413,0,376,614,435,417
2015-03-31,226,458,395,432,102,785,346,227,1037,760,218,789,328
2015-03-31,420,392,341,233,639,77,51,374,156,250,298,675,430
2015-03-31,114,544,464,308,928,204,500,507,165,422,365,0,219
2015-03-31,824,323,333,211,768,139,717,1074,406,253,586,464,0
