"date","B","C","E","F","G","H","I","K","L","N","O"
2017-09-30,238,497,371,525,731,608,521,796,305,517,584
2017-09-30,940,370,174,433,373,885,804,699,808,418,250
2017-09-30,431,835,508,386,608,70,0,474,492,250,622
2017-09-30,501,437,389,430,735,276,387,728,200,578,636
2017-09-30,526,849,101,584,970,395,611,645,455,321,488
2017-09-30,239,321,581,656,570,627,762,335,422,977,620
2017-09-30,271,129,628,238,1152,961,730,111,466,693,771
2017-09-30,385,379,429,432,400,861,330,262,654,530,462
2017-09-30,703,914,357,294,518,403,615,588,175,666,559
2017-09-30,645,756,276,216,273,559,5,741,270,300,152
2017-09-30,343,422,487,321,513,629,537,553,583,590,300
2017-09-30,537,150,465,283,324,413,238,290,673,721,201
2017-09-30,482,743,291,590,268,871,293,667,853,887,31
2017-09-30,521,461,387,374,446,376,613,850,713,605,951
2017-09-30,942,402,232,0,328,366,439,932,848,318,427
2017-09-30,70,315,1137,302,525,328,0,39,299,0,596
2017-09-30,710,341,226,731,456,518,327,507,526,454,521
2017-09-30,427,639,190,903,619,166,975,717,358,945,554
2017-09-30,542,216,243,873,196,445,470,399,288,582,476
2017-09-30,749,746,941,709,249,47,359,356,503,508,433
2017-09-30,494,673,353,530,823,545,887,576,542,240,695
2017-09-30,408,620,826,358,375,570,180,931,734,204,494
