"date","B","C","E","F","H","I","J","K","L","M","O"
2015-05-31,338,437,310,173,490,484,96,0,141,0,767
2015-05-31,511,537,696,334,610,934,543,713,469,149,516
2015-05-31,486,445,411,973,209,459,577,37,888,837,440
2015-05-31,811,360,599,511,256,257,248,144,341,519,639
2015-05-31,728,347,598,674,352,635,436,610,447,697,625
2015-05-31,449,761,596,539,396,418,392,66,515,564,164
2015-05-31,634,792,764,598,446,958,549,365,541,686,43
2015-05-31,336,308,386,333,601,679,431,460,412,489,532
2015-05-31,978,361,714,678,1000,389,510,0,123,388,523
2015-05-31,139,551,426,145,716,513,681,913,49,371,375
2015-05-31,347,848,577,344,882,172,426,207,334,975,801
2015-05-31,605,407,369,416,169,816,103,745,830,190,658
2015-05-31,520,842,497,687,499,688,799,289,552,353,686
2015-05-31,382,123,724,465,212,411,737,601,443,322,346
2015-05-31,271,495,489,113,758,439,586,502,929,423,853
2015-05-31,832,289,487,31,606,676,448,174,471,425,459
2015-05-31,269,322,230,489,972,369,420,797,565,572,451
2015-05-31,410,413,373,412,901,678,438,410,223,533,995
2015-05-31,223,548,359,12,633,682,442,486,417,812,403
2015-05-31,825,210,842,227,328,705,0,604,78,144,194
2015-05-31,326,647,1032,415,541,259,488,69,172,159,418
